                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                  1.057,                0.52992,                 1.0116,                0.78847,                0.72491,                0.77937,                0.43804,                 1.4253,                0.84018,                 1.2894,             0.00056131,             0.00056131,             0.00056131
                     95,                 1.0344,                0.52069,                 1.0034,                 0.8033,                0.72431,                0.78709,                0.44522,                 1.4104,                0.79584,                 1.2415,             0.00055188,             0.00055188,             0.00055188
                     96,                 1.0276,                 0.5178,                 1.0019,                0.76396,                0.74669,                0.78063,                0.44091,                 1.4274,                0.85602,                 1.2489,             0.00054245,             0.00054245,             0.00054245
                     97,                 1.0406,                 0.5212,                0.99764,                0.75581,                0.76036,                0.78358,                0.43824,                 1.4037,                0.85172,                 1.2456,             0.00053302,             0.00053302,             0.00053302
                     98,                 1.0273,                0.51731,                  1.002,                0.83442,                0.69897,                0.79521,                0.44911,                 1.3808,                0.83084,                 1.2479,             0.00052359,             0.00052359,             0.00052359
                     99,                 1.0274,                0.51677,                 1.0014,                0.76238,                0.74628,                0.78507,                0.44526,                 1.3674,                0.86365,                 1.2183,             0.00051415,             0.00051415,             0.00051415
                    100,                 1.0126,                0.51668,                0.99895,                0.78102,                0.72026,                0.77126,                0.43506,                 1.3762,                0.86431,                 1.2197,             0.00050472,             0.00050472,             0.00050472
                    101,                 1.0267,                0.51797,                 1.0048,                0.76969,                0.74001,                0.77757,                0.42813,                 1.3909,                0.80068,                 1.2374,             0.00049529,             0.00049529,             0.00049529
                    102,                 1.0116,                0.50441,                0.98855,                0.78078,                 0.7201,                 0.7803,                0.43727,                 1.3992,                0.92052,                 1.2473,             0.00048586,             0.00048586,             0.00048586
                    103,                 1.0211,                0.50873,                0.99775,                0.78568,                0.69444,                0.76761,                0.42511,                 1.3934,                0.91974,                 1.2058,             0.00047643,             0.00047643,             0.00047643
